CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,234,-10,208,42.11,"1,576.65",-161.55,65,"1,573.35","1,586.65",65,"22,500.00","21,450",2.50,2.55,"9,945",-0.15,2.50,24.53,"4,13,004","6,371","72,849",
,2,-1,9,30.57,"1,491.00",-305.50,65,"1,504.25","1,547.45",65,"22,550.00","2,080",2.70,2.80,"2,990",-0.10,2.80,24.17,"1,02,610","2,025","4,668",
,11,1,3,-,"1,319.15",-312.95,65,"1,448.40","1,531.10",65,"22,600.00",585,2.90,3.05,"1,690",-0.15,2.90,23.54,"2,74,116","3,054","19,260",
,4,1,2,-,"1,262.45",-323.95,780,"1,400.40","1,481.10",780,"22,650.00","1,560",3.25,3.40,"1,755",0.10,3.45,23.36,"91,008","2,469","6,002",
,76,-2,42,32.28,"1,354.00",-144.45,"1,560","1,348.50","1,431.60","1,560","22,700.00",650,3.55,3.75,"2,730",0.30,3.80,22.92,"3,03,937","12,079","33,115",
,22,-,-,-,"1,390.50",-27.95,65,"1,277.95","1,356.80","1,560","22,750.00","1,560",3.95,4.05,"3,120",0.15,4.05,22.37,"1,54,501","3,548","8,891",
,147,7,90,36.55,"1,281.65",-121.80,65,"1,275.90","1,288.10",130,"22,800.00","1,755",4.25,4.40,"3,835",-0.10,4.20,21.72,"4,01,946","20,091","55,943",
,9,5,17,-,"1,160.70",-73.25,65,"1,225.55","1,282.85","1,560","22,850.00",65,4.80,4.90,"2,665",0.05,4.80,21.38,"2,01,513","-11,001","15,864",
,88,-11,66,34.72,"1,183.90",-108.10,65,"1,177.95","1,190.45",65,"22,900.00",325,5.45,5.55,"6,110",0.45,5.55,21.07,"3,55,690","8,768","39,869",
,22,-5,15,27.92,"1,106.60",-169.90,65,"1,103.75","1,183.85","1,560","22,950.00","1,560",6.05,6.20,"1,495",0.35,6.00,20.53,"1,59,514","4,587","10,955",
,"3,810",590,"5,256",32.26,"1,082.90",-102.60,65,"1,080.10","1,087.40",65,"23,000.00","1,300",6.85,6.95,"1,170",0.65,6.95,20.22,"8,51,615","22,790","1,01,403",
,13,-,4,32.86,"1,043.25",-141.55,780,"1,006.30","1,046.75",65,"23,050.00",845,7.65,7.85,"1,885",0.80,7.85,19.81,"1,57,466","6,582","10,998",
,203,47,418,30.48,986.00,-99.90,65,981.50,990.70,260,"23,100.00",195,8.65,8.85,"3,510",0.80,8.65,19.31,"3,66,798","11,293","31,773",
,64,-2,126,28.23,929.55,-99.15,65,932.10,945.35,65,"23,150.00",455,10.15,10.25,"1,495",1.20,10.15,19.02,"1,83,848","9,627","16,996",
,313,8,"1,456",29.11,892.25,-93.45,130,884.70,892.70,260,"23,200.00",390,11.30,11.45,"2,860",1.50,11.50,18.60,"5,52,724","23,394","67,107",
,242,187,"1,186",27.06,836.80,-108.20,65,836.20,844.45,"1,755","23,250.00",910,13.15,13.40,"1,560",1.60,13.25,18.23,"2,29,997","5,329","18,759",
,932,50,"3,358",26.06,788.10,-119.65,65,790.10,795.00,195,"23,300.00",455,15.45,15.55,65,2.25,15.55,17.94,"5,02,769","13,044","45,419",
,278,101,801,26.29,748.25,-115.65,65,741.55,750.50,260,"23,350.00",650,17.80,18.00,65,2.45,17.80,17.53,"2,67,930","6,741","15,708",
,917,269,"6,571",24.70,695.90,-116.40,195,694.85,699.00,195,"23,400.00","1,105",20.90,21.15,845,3.20,21.00,17.25,"5,38,962","7,400","32,181",
,430,157,"2,539",23.88,649.35,-114.90,65,648.40,659.45,"1,820","23,450.00",975,24.60,24.80,585,4.00,24.60,16.94,"3,19,941","3,651","14,580",
